"Header1","Header2","Header3"
"office superintendent","looking after procurement through gem","1"
"office superintendent","ms excel working","1"
"office superintendent","ms office working","1"
"office superintendent","prepares tender documents and minutes.","1"
"office superintendent","procurement of hardware and software","1"
"office superintendent","supervisory of administration section","1"
"office superintendent","support drafting of proposals","1"
"office superintendent","various activities pertaining to administration ","1"
"senior deputy accountant general"," it audit","1"
"senior deputy accountant general"," man power managment ","1"
"senior deputy accountant general","accounts ","1"
"senior deputy accountant general","accuracy of accounts  ","1"
"senior deputy accountant general","audit","1"
"senior deputy accountant general","auditing","1"
"senior deputy accountant general","balance sheet audit","1"
"senior deputy accountant general","change management","1"
"senior deputy accountant general","coordinates with state government  ","1"
"senior deputy accountant general","designing audit processes","1"
"senior deputy accountant general","devising audit plan","1"
"senior deputy accountant general","forensic audit","1"
"senior deputy accountant general","fraud detection","1"
"senior deputy accountant general","grievance redressal ","1"
"senior deputy accountant general","leads the team","1"
"senior deputy accountant general","management of audit processes as a team member and as a leader","1"
"senior deputy accountant general","managing human resources","1"
"senior deputy accountant general","managing stakeholder relations with state departments","1"
"senior deputy accountant general","monitors adherence to citizen charter","1"
"senior deputy accountant general","pay bills disposal and its monitoring","1"
"senior deputy accountant general","service matters of staff of the office which includes recruitment","1"
"senior deputy accountant general","transfer and postings of staff in three functional verticals","1"
"young professional"," hence foster innovation and entrepreneurship in the nation building ","1"
"young professional"," preparation of technical documents/notes ","1"
"young professional"," project management","1"
"young professional","1. scheme research","1"
"young professional","2. policy communication","1"
"young professional","3. data analysis ","1"
"young professional","4. critical thinking","1"
"young professional","conducting trainings ","1"
"young professional","data analytics","1"
"young professional","data management ","1"
"young professional","data science","1"
"young professional","export","1"
"young professional","foreign trade","1"
"young professional","import","1"
"young professional","monitoring","1"
"young professional","policy","1"
"young professional","report generation","1"
"young professional","research","1"
"young professional","scrutiny of dpr and qm reports","1"
"young professional","suggesting the best practices in the different sectors of the country by performing research and different possible solutions","1"
"young professional","trade policies","1"
"additional commissioner"," analysis of big data","1"
"additional commissioner"," bilateral and multi lateral diplomacy ","1"
"additional commissioner"," drug abuse","1"
"additional commissioner"," engagement with world trade bodies like wto & the un","1"
"additional commissioner"," study of the economy","1"
"additional commissioner","illicit drug trafficking","1"
"additional commissioner","international best practises","1"
"additional commissioner","legal defence","1"
"additional commissioner","man power management","1"
"additional commissioner","ndps act","1"
"additional commissioner","pleading ","1"
"additional commissioner","policy formulation for economic goals ","1"
"additional commissioner","tax administration ","1"
"additional commissioner","tax administration of central gst & customs","1"
"additional commissioner","trade negotiations","1"
"additional commissioner","trainer","1"
"additional commissioner","wild life anti smuggling","1"
"administrative officer"," monitoring and supervising accounts related tasks","1"
"administrative officer","administration ","1"
"administrative officer","administrative, establishment, finance, estate, labour issue ect.","1"
"administrative officer","adminstrator","1"
"administrative officer","effective management of manpower and available resources","1"
"administrative officer","establishment ","1"
"administrative officer","general administration","1"
"administrative officer","human resource managemet","1"
"administrative officer","liaisoning  ","1"
"administrative officer","management","1"
"administrative officer","manages disciplinary cases","1"
"administrative officer","manpower outsourcing ","1"
"administrative officer","manpower planning ","1"
"administrative officer","monitor and effectively resolve all establishment/financial and administrative matters of gp ‘a’, ‘b’ & ‘c’ officers and staff of the directorate in an efficient and time bound manner.","1"
"administrative officer","procurement ","1"
"administrative officer","responsible for monitoring and implementing all administrative and financial services and maintaining day to day administrative and financial matters, in order to meet government requirements and fulfil  organizational goals. ","1"
"administrative officer"," addressing day-to-day admin/accts issues of the organization ","1"
"administrative officer","  relationship management  recruitment management ","1"
"assistant division engineer telecom ","bharat net","1"
"assistant division engineer telecom ","computer network and cyber security","1"
"assistant division engineer telecom ","emf audit","1"
"assistant division engineer telecom ","engagements","1"
"assistant division engineer telecom ","focal point","1"
"assistant division engineer telecom ","grievance redressal","1"
"assistant division engineer telecom ","policy formulation w.r.t to telecom sector","1"
"assistant division engineer telecom ","security audit","1"
"assistant division engineer telecom ","security of telecom networks","1"
"assistant division engineer telecom ","security related inspection","1"
"assistant division engineer telecom ","traffic monitoring ","1"
"assistant manager","business process re-engineering","1"
"assistant manager","cyber security ","1"
"assistant manager","engagement of service providers for development of it solutions","1"
"assistant manager","ensure implementation of schemes for  industrial growth of state","1"
"assistant manager","ipr awaeness and public policy","1"
"assistant manager","ipr promotion in collages","1"
"assistant manager","preparation of it plans","1"
"assistant manager","providing technical inputs to the stakeholders","1"
"assistant manager","rfp and bid management","1"
"commandant","security","2"
"commandant"," border guarding","1"
"commandant"," cosultancy","1"
"commandant"," procurement ","1"
"commandant","accounts","1"
"commandant","administration","1"
"commandant","border management","1"
"commandant","developing the infrastructure for families and operational","1"
"commandant","drills","1"
"commandant","election","1"
"commandant","head of security for atomic power plant","1"
"commandant","head of security for bhel","1"
"commandant","head of security for refinery","1"
"commandant","human resource management","1"
"commandant","human resource managemnt","1"
"commandant","industrial security","1"
"commandant","information security","1"
"commandant","internal security","1"
"commandant","internal security auditor","1"
"commandant","keep the men in preparedness for undertaking any security assignment","1"
"commandant","man management","1"
"commandant","ordnance","1"
"commandant","planning","1"
"commandant","policing","1"
"commandant","providing security consultancy services to privat sector as well as public sector undertakings","1"
"commandant","provisioning","1"
"commandant","recruitment","1"
"commandant","run the battalion work efficiently","1"
"commandant","security manager at airport","1"
"commandant","security manager at steel plants","1"
"commandant","taking care of their housing","1"
"commandant","taking care of their training","1"
"commandant","technical writing","1"
"commandant","trainer for the officers and men in cisf","1"
"commissioner of income tax"," dispute resolution through appeals","1"
"commissioner of income tax"," enforcing collection of taxes","1"
"commissioner of income tax","administration","1"
"commissioner of income tax","checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents  -   supplies missing facts to a proposal if any information is missing","1"
"commissioner of income tax","financial general","1"
"commissioner of income tax","human resource","1"
"commissioner of income tax","i head the kolkata regional centre of nadt, which is tasked with designing and mounting training courses for the officers and officials of income tax department posted in the states of west bengal, odisha, jhakhand and the north east region. there are four ministerial staff training units under my office, located at kolkata, guwahati, puri and jorhat. i design","1"
"commissioner of income tax","representation before tribunal","1"
"commissioner of income tax","to check proposals from administrative angles","1"
"commissioner of income tax","to coordinate with ministry ","1"
"commissioner of income tax","to render advice on financial issues","1"
"commissioner of income tax","training","1"
"constable","apprentice","2"
"constable"," open source intelligence","1"
"constable","analyzing digital storage media ","1"
"constable","computer security","1"
"constable","confirmation of report ","1"
"constable","police work","1"
"income tax inspector"," assisting higher authorities on sports quota recruitments.","1"
"income tax inspector"," complaint handling ","1"
"income tax inspector","departmental proceeding","1"
"income tax inspector","prepare various orders and letters  related to the income tax department ","1"
"income tax inspector","preparing draft on legal matters like cat cases","1"
"income tax inspector","to interpret and apply provisions of income tax act and rules, case laws, calculate tax rates, time limits to complete the cases ","1"
"income tax inspector","verify claims and prepare assessment orders","1"
"joint secretary"," capacity building ","1"
"joint secretary"," minority stake sale","1"
"joint secretary","analysis ","1"
"joint secretary","career management of icar scientific community","1"
"joint secretary","coordination regarding strategic disinvestment","1"
"joint secretary","data analytics","1"
"joint secretary","data quality and governance","1"
"joint secretary","evaluation","1"
"joint secretary","evidence based policy making","1"
"joint secretary","financial restructuring of cpses","1"
"joint secretary","innovation","1"
"joint secretary","manpower management","1"
"joint secretary","monitoring","1"
"joint secretary","monitoring vacancies and sending requisitions to recruitment agency asrb.","1"
"joint secretary","mutation, freehold, land transfer, acquisition, land records, survey, digitisation of records, gis mapping","1"
"joint secretary","new and emerging technologies","1"
"joint secretary","onboarding scientist.","1"
"joint secretary","outcome monitoring","1"
"joint secretary","partnerships","1"
"joint secretary","project management","1"
"joint secretary","researching positions taken by countries on issues","1"
"joint secretary","their superannuation and post-superannuation benefits monitoring","1"
"joint secretary","writing summaries","1"
"junior engineer"," estimate detailed project reports","1"
"junior engineer","carrries out setting/scrutiny of various technical documents pertaining to  defence equipments.","1"
"junior engineer","checking electrical/ electronic parameters as per qualitry assurance plan & procedure. ","1"
"junior engineer","cyber security  audit","1"
"junior engineer","gis and remote sensing ","1"
"junior engineer","information technology","1"
"junior engineer","inspection and maintenance of memu trains ","1"
"junior engineer","it cell","1"
"junior engineer","manpower management ","1"
"junior engineer","master plan prepration","1"
"junior engineer","material management ","1"
"junior engineer","performs testing of multiplexing and switching equipment that are used in field areas by indian army. ","1"
"junior engineer","prepration of quality assurance reports","1"
"junior engineer","quality audit of document with resoect to technical specification. isms audit","1"
"junior engineer","vetting of rfps/sos/contracts etc for procurement of defence related communication exchanges /switching syatems","1"
"private secretary"," taking dictations","1"
"private secretary"," to facilitate my boss to perform his official duties in the best possible way and to support in his day to day working and attending official work like assisting in proper management  of e-files . to work on computer and handling of telephone and fax machine.  to make arrangements for meeting with visitors.","1"
"private secretary","attending to correspondences ","1"
"private secretary","attending to guests","1"
"private secretary","briefing the minister on progress achieved in the agenda items set by the minister ","1"
"private secretary","coordinating logistics during boss travel","1"
"private secretary","drafting letters and notes","1"
"private secretary","ensuring the agenda and targets set by the minister is communicated in time to the ministry","1"
"private secretary","ensuring timely compliance of agenda and targets set by the minister","1"
"private secretary","in charge of office of minister of tourism","1"
"private secretary","leading group of four people","1"
"private secretary","managing the appointments of the minister","1"
"private secretary","organising and conducting meetings","1"
"private secretary","power point","1"
"private secretary","presenting the files from ministry for minister's perusal","1"
"private secretary","to assist an officer in his day to day functions. ","1"
"private secretary","work allocating for sub ordinates","1"
"professor"," organizing courses","1"
"professor"," webinars ","1"
"professor","administration","1"
"professor","administration of laboratory personnel and clerical staff","1"
"professor","administrative work","1"
"professor","assess the impact of the programs ","1"
"professor","conduct need based survey","1"
"professor","counseling of family","1"
"professor","designing courses","1"
"professor","designing training calendar","1"
"professor","evaluate the programs ","1"
"professor","facilitating in sessions","1"
"professor","manage assigned areas of clinical care","1"
"professor","management","1"
"professor","organise the capacity building and training programs ","1"
"professor","prepare the annual action plan","1"
"professor","provide clinical care to patients","1"
"professor","research & consultancy","1"
"professor","teaching","1"
"professor","workshops","1"
"research officer"," file processing","1"
"research officer"," project and programme management","1"
"research officer"," research ","1"
"research officer"," research projects","1"
"research officer"," training","1"
"research officer","adhering to government of india atomic energy regulatory board safety codes and guidelines safety and security in nuclear and radiation facilities in india","1"
"research officer","covenor of working group constitiuted for devising strategy and policy to increase health insurance coverage in india","1"
"research officer","efc/sfc of related issues","1"
"research officer","it related project implementation","1"
"research officer","patient consultation in ayurveda opd","1"
"research officer","programme and project conceptualisation","1"
"research officer","programme and project monitoring and appraisal","1"
"research officer","proposal in ayush sectors for annual action plan of health vertical ","1"
"research officer","providing technical inputs","1"
"research officer","rti as cpio health","1"
"scientist g"," trouble shoot ","1"
"scientist g","academic","1"
"scientist g","capacity building in hydrology and water resources in the area of flood management - watershed and springshed management - storm water management","1"
"scientist g","co-ordinate with agencies in water resources planning development and management in northeast region","1"
"scientist g","draw synergy encouraging team work","1"
"scientist g","examine technical documents","1"
"scientist g","extension","1"
"scientist g","heading team of young scientists in undertaking scientific studies by hydrological investigations","1"
"scientist g","interaction and public awareness programmes for water conservation and management","1"
"scientist g","motivate","1"
"scientist g","research","1"
"scientist g","research and capacity building","1"
"scientist g","research management","1"
"scientist g","research on vaccines and diagnostics for animal diseases","1"
"special secretary"," checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents  -   supplies missing facts to a proposal if any information is missing  -   supports drafting of proposals  -   quotes previous precedents by referring to existing rules","1"
"special secretary"," finance ","1"
"special secretary","ensures monitoring and coordination between different stake holders for implementing  and framing policies related to health, finance, industries , home agriculture , information technology and education sector","1"
"special secretary","farmer’s income","1"
"special secretary","fisheries","1"
"special secretary","hrm","1"
"special secretary","policy making","1"
"special secretary","policy planning","1"
"special secretary","project management","1"
"special secretary","sdg","1"
"special secretary","to view published courses","1"
"steno grade d"," handling emails","1"
"steno grade d"," handling of phone calls","1"
"steno grade d"," police infrastructure  ","1"
"steno grade d","appointments","1"
"steno grade d","arranging meetings","1"
"steno grade d","arranging meetings with/for my reporting officer","1"
"steno grade d","assisting the officer in preparing meeting's folders/agendas/letters","1"
"steno grade d","attending to visitors in absence of the officer","1"
"steno grade d","collecting necessary information from various sections as and when required","1"
"steno grade d","correspondence and tour of controlling of officer","1"
"steno grade d","dictation","1"
"steno grade d","draft letters","1"
"steno grade d","drafting","1"
"steno grade d","drafting letters","1"
"steno grade d","drafting letters meeting arrangements tour of controlling officer maintaining correspondence of controlling officer file maintenance of the controlling officer","1"
"steno grade d","e-office work","1"
"steno grade d","file maintenance","1"
"steno grade d","i had provided stenographic assistance in submission and disposal of proposals related to fund release under various schemes/projects of capfs","1"
"steno grade d","keeping track of urgent/important/time bound receipts/files i.e. rtis, parliament questions, etc. and keeping the officer informed about the same for timely disposal","1"
"steno grade d","maintaining engagement diary","1"
"steno grade d","making notes","1"
"steno grade d","noting ","1"
"steno grade d","offical call attending","1"
"steno grade d","performed other duties assigned by the officer from time to time.","1"
"steno grade d","providing secretarial assistance in disposal of work","1"
"steno grade d","screening and forwarding telephone calls","1"
"steno grade d","taking dictations","1"
"steno grade d","transcribing","1"
"steno grade d","typing","1"
"sub inspector"," actively taking part in security audit of duty posts & analyzing potent threats & precautionary measures to counter them","1"
"sub inspector","-ensure timely implementation of cctns/icjs.","1"
"sub inspector","all other activities related to cctns/icjs project","1"
"sub inspector","checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents  -   supplies missing facts to a proposal if any information is missing  -   supports drafting of proposals  -   quotes previous precedents by referring to existing rules","1"
"sub inspector","direct execution of activities required to implement.","1"
"sub inspector","doing security duty at public sector undertaking (psu)","1"
"sub inspector","ensure day to day correspondence wrt cctns/icjs","1"
"sub inspector","investigate criminal cases","1"
"sub inspector","keeping self competent through mock drills to meet operational requirement","1"
"sub inspector","keeping self physically fit through physical training & yoga ","1"
"sub inspector","law and order duties","1"
"additional director"," coordination  ","1"
"additional director","1.supervision of all work related to the directorate","1"
"additional director","2.general administration of the office","1"
"additional director","3. technical inputs to the subordinates","1"
"additional director","admin vigilance, technical, training, account, executive, gst, customs","1"
"additional director","administration","1"
"additional director","expenditure","1"
"additional director","finance","1"
"additional director","management","1"
"additional director","planning","1"
"additional director","scrutiny of tax returns","1"
"additional director","training ","1"
"adviser"," legal advice and handling litigation connected to ministry of education","1"
"adviser"," legal advise and handling litigation to ministry of health","1"
"adviser"," policy broefs etc.","1"
"adviser"," to arrive at the loss/gain from the operation.","1"
"adviser","focus on research work","1"
"adviser","i am working on promotion of water conservation, increase in water use efficiency and driving the national agenda on water conservation and management, specially the “jal shakti abhiyan: catch the rain” campaign” that reaches out to every citizen across the country. ","1"
"adviser","making reports","1"
"adviser","policy and programme evaluation","1"
"adviser","quantitative and qualitative data analysis","1"
"adviser","to examine accounts related to pss operations conducted by the ministry","1"
"adviser","to suggest various ways to reduce the cost of operation.","1"
"assistant commissioner of income tax"," - collate data from various sources and report ","1"
"assistant commissioner of income tax"," investigation","1"
"assistant commissioner of income tax","- build cases of tax evasion for further action ","1"
"assistant commissioner of income tax","- collect information from various agencies of centre and state","1"
"assistant commissioner of income tax","- conduct internal enquiry on cases received based on information ","1"
"assistant commissioner of income tax","- conduct searches and surveys ","1"
"assistant commissioner of income tax","- find out cases of tax evasion in the jurisdiction","1"
"assistant commissioner of income tax","- make reports on the findings of the search and survey ","1"
"assistant commissioner of income tax","advance pricing agreements","1"
"assistant commissioner of income tax","assessment","1"
"assistant commissioner of income tax","conducting surveys ","1"
"assistant commissioner of income tax","cyber forensics","1"
"assistant commissioner of income tax","datamining ","1"
"assistant commissioner of income tax","digital forensics","1"
"assistant commissioner of income tax","economic intelligence gathering","1"
"assistant commissioner of income tax","enforcement","1"
"assistant commissioner of income tax","investigation of accounts","1"
"assistant commissioner of income tax","investigation of financial statements","1"
"assistant commissioner of income tax","organising search and seizure actions","1"
"assistant commissioner of income tax","recee","1"
"assistant commissioner of income tax","tax payer services","1"
"assistant commissioner of income tax","tax policy","1"
"assistant commissioner of income tax","transfer pricing ","1"
"assistant professor"," advising","1"
"assistant professor"," analyzing performance","1"
"assistant professor"," assist in ongoing projects for report writing and coordinating","1"
"assistant professor"," auctions","1"
"assistant professor"," bidding","1"
"assistant professor"," case studies","1"
"assistant professor"," coaching","1"
"assistant professor"," communicating with departments","1"
"assistant professor"," communication","1"
"assistant professor"," consultancy","1"
"assistant professor"," consultancy projects","1"
"assistant professor"," consultant","1"
"assistant professor"," contract management","1"
"assistant professor"," contracting","1"
"assistant professor"," coordinating","1"
"assistant professor"," data analysis","1"
"assistant professor"," delivering speeches","1"
"assistant professor"," demonstrations","1"
"assistant professor"," designing schedules","1"
"assistant professor"," designing templates","1"
"assistant professor"," documentation","1"
"assistant professor"," entrepreneurship development","1"
"assistant professor"," finalizing schedules","1"
"assistant professor"," financial evaluation","1"
"assistant professor"," forming brochures","1"
"assistant professor"," grooming","1"
"assistant professor"," guidance on computerized accounting","1"
"assistant professor"," guidance on management information systems","1"
"assistant professor"," human resource management system","1"
"assistant professor"," leadership","1"
"assistant professor"," mentoring","1"
"assistant professor"," negotiations","1"
"assistant professor"," personal guidance","1"
"assistant professor"," preparing study material","1"
"assistant professor"," project management","1"
"assistant professor"," projects","1"
"assistant professor"," public private partnerships","1"
"assistant professor"," publications","1"
"assistant professor"," report writing","1"
"assistant professor"," representing organization","1"
"assistant professor"," team building","1"
"assistant professor"," training","1"
"assistant professor"," writing articles","1"
"assistant professor"," writing case studies","1"
"assistant professor","check the quality of the content","1"
"assistant professor","conduct behavioural trainings for mgsipa and its regional centres","1"
"assistant professor","conducting training programmes","1"
"assistant professor","data analysis","1"
"assistant professor","evaluating the effect of training","1"
"assistant professor","guidance on financial accounting","1"
"assistant professor","leading participants","1"
"assistant professor","management of manpower","1"
"assistant professor","management of office","1"
"assistant professor","prepare course content","1"
"assistant professor","prepare training schedule","1"
"assistant professor","preparing modules","1"
"assistant professor","research projects","1"
"assistant professor","review of the content developed","1"
"assistant professor","teaching","1"
"assistant professor","team management","1"
"assistant professor","writing content","1"
"assistant secretary"," policy making ","1"
"assistant secretary","1. understanding the working of the mission karmayogi project","1"
"assistant secretary","2. to compare the igot platform with other online education/training websites like coursera and to derive points of improvement for the platform","1"
"assistant secretary","3. to make the dashboard of the igot as user-friendly as possible.","1"
"assistant secretary","agriculture","1"
"assistant secretary","commerce","1"
"assistant secretary","defence","1"
"assistant secretary","education","1"
"assistant secretary","energy","1"
"assistant secretary","energy and power","1"
"assistant secretary","environment","1"
"assistant secretary","finance","1"
"assistant secretary","group project","1"
"assistant secretary","health","1"
"assistant secretary","human resource","1"
"assistant secretary","individual project","1"
"assistant secretary","infrastructure","1"
"assistant secretary","management","1"
"assistant secretary","prime minister formalisation of micro food processing enterprises (pmfme) scheme implementation ","1"
"assistant secretary","r&d","1"
"assistant secretary","research","1"
"assistant secretary","road and transport","1"
"assistant secretary","roads","1"
"assistant secretary","science","1"
"assistant secretary","study","1"
"assistant secretary","technology","1"
"assistant secretary","training","1"
"audit officer","audit of psus under the ministry of defence","1"
"audit officer","data analytics","1"
"audit officer","preparation of finance and appropriation accounts","1"
"audit officer","to check economy of psus transactons","1"
"audit officer","to check effectiveness of psus transactions","1"
"audit officer","to check efficiency of psus transactions ","1"
"clerk"," audit of defence expenditure","1"
"clerk","accounting","1"
"clerk","administrative works of office ","1"
"clerk","all other works assigned by superiors.","1"
"clerk","audit and payment of contractor bills","1"
"clerk","counter operation ","1"
"clerk","finance","1"
"clerk","pay and allowances","1"
"data entry operator"," ms office ","1"
"data entry operator","audit","1"
"data entry operator","audit of it application","1"
"data entry operator","audit work","1"
"data entry operator","official work","1"
"data entry operator","railway audit","1"
"data entry operator","time to time update database and enter new data","1"
"deputy conservator of forests"," ensure plantation in government and other private land to increase green cover ","1"
"deputy conservator of forests","balance sheet","1"
"deputy conservator of forests","being drawing and disbursing officer and head of the division  ensure staff grievences are met achieve goal set as per annual approved plan of operation","1"
"deputy conservator of forests","close monitoring of each and every psk and popsks","1"
"deputy conservator of forests","ensure protection activities in forest area","1"
"deputy conservator of forests","financial rules","1"
"deputy conservator of forests","human resource management","1"
"deputy conservator of forests","intraction with public and taking feed back from them","1"
"deputy conservator of forests","personal monitoring of grienences and feedback received from public through various channels","1"
"deputy conservator of forests","providing training to forestry personnel and other stake holders","1"
"deputy conservator of forests","public policy","1"
"deputy conservator of forests","purchases on gem portal ","1"
"deputy conservator of forests","research activities monitoring through meetings with concern scientists","1"
"deputy conservator of forests","wildlife management ","1"
"deputy director of income tax","assessment","2"
"deputy director of income tax"," all work related to systems database and  network administration","1"
"deputy director of income tax"," headquarter","1"
"deputy director of income tax","conducting exams","1"
"deputy director of income tax","investigation","1"
"deputy director of income tax","public policy","1"
"deputy director of income tax","tax","1"
"deputy director of income tax","training and capacity building","1"
"deputy secretary and director"," financial management","1"
"deputy secretary and director"," reviewing dividend payment of cpses","1"
"deputy secretary and director","analysis","1"
"deputy secretary and director","brining ipo/ofs for cpse","1"
"deputy secretary and director","data minning","1"
"deputy secretary and director","developing the new resource mobilisation or revenue model.","1"
"deputy secretary and director","ensuring coordination between center and state and providing support to states to implement the schemes by ensuring cross sectoral analysis","1"
"deputy secretary and director","ensuring regulars monitoring  for achievement of targets under various schemes","1"
"deputy secretary and director","evaluation of share market performance of cpses","1"
"deputy secretary and director","financial expert ","1"
"deputy secretary and director","formulation of public policy on various subjects like national security, health, education for creation of capital formation and institution development ","1"
"deputy secretary and director","making notes","1"
"deputy secretary and director","negotiation","1"
"deputy secretary and director","privatisation of cpses","1"
"deputy secretary and director","reading","1"
"deputy secretary and director","research","1"
"deputy secretary and director","standard practices/tools/techniques on project evaluation & monitoring","1"
"deputy secretary and director","use of it tools in public procurement for pattern analysis","1"
"enforcement officer","search and seizure","2"
"enforcement officer"," collection of information from other departments","1"
"enforcement officer"," intelligence gathering","1"
"enforcement officer","analysis of books of accounts","1"
"enforcement officer","analysis of seized materials","1"
"enforcement officer","assists in investigation related to pmla and fema..","1"
"enforcement officer","bank account analysis","1"
"enforcement officer","collation of data and data maintenance","1"
"enforcement officer","coordination with other agencies","1"
"enforcement officer","drafting prosecution complaints and provisional attachment orders","1"
"enforcement officer","financial investigation and audit of accounts of entities to decipher trail of tainted funds and others.","1"
"enforcement officer","interrogation of accused or suspect or witness","1"
"enforcement officer","intrepretation of various laws","1"
"enforcement officer","legal drafting","1"
"executive engineer"," aptel and other concerned courts.","1"
"executive engineer"," preparetion of annual energy generation target for ssp in consultation with beneficiary states for its approval by cea.","1"
"executive engineer"," replying to relevant query raised under pmo reference","1"
"executive engineer","coordinating inter state matters pertaining to power.","1"
"executive engineer","coordinating power generation operation from sardar sarovar project (1450 mw) and its distribution among the beneficiary states as per nwdt award. ","1"
"executive engineer","create policy","1"
"executive engineer","dealing with legal matters in cerc","1"
"executive engineer","dealing with operational commercial and protection matters related to power generation at various fora.","1"
"executive engineer","discipline cases","1"
"executive engineer","energy accounting of power generation at ssp.","1"
"executive engineer","execution","1"
"executive engineer","grant of permission ","1"
"executive engineer","interaction with civil agencies","1"
"executive engineer","monitoring","1"
"executive engineer","preparation of documentation","1"
"executive engineer","preparation of modules for training programs by iahe","1"
"executive engineer","preparetion of draft agenda and minutes for various inter state meetings.","1"
"executive engineer","representing ssp at various concerned national and state agencies like cea","1"
"executive engineer","secretriate work.","1"
"executive engineer","security","1"
"executive engineer","tendering","1"
"executive engineer","vigilance check","1"
"general manager"," review","1"
"general manager","administration and governance ","1"
"general manager","business development  and marketing ","1"
"general manager","capacity building","1"
"general manager","financial management ","1"
"general manager","human resource management ","1"
"general manager","monitoring","1"
"general manager","policy formulation ","1"
"general manager","procurement","1"
"general manager","programme execution & implementation ","1"
"instructor","giving training to the trainees in the institute","1"
"instructor","imparting theory and practical training ","1"
"instructor","learning new things so that it can be delivered to trainees ","1"
"instructor","teaching  as well as maintaining telecom assets","1"
"instructor","training","1"
"joint commissioner"," personnel management","1"
"joint commissioner"," technical support and coordinating various govt agencies","1"
"joint commissioner","adjudication","1"
"joint commissioner","administration","1"
"joint commissioner","administration ","1"
"joint commissioner","allocation of taxpayers/units to audit groups ","1"
"joint commissioner","approving the desk review and audit plans.","1"
"joint commissioner","clearance of imported goods","1"
"joint commissioner","conducting capacity building programmes for wildlife law enforcement agencies","1"
"joint commissioner","conducting monthly monitoring committee meeting (mcm).","1"
"joint commissioner","coordination, planning and overall management of the audit process.","1"
"joint commissioner","intelligence gathering of wildlife crimes and enforcement opeartions","1"
"joint commissioner","interacting with the management of large units to share major audit findings and compliance issues.","1"
"joint commissioner","investigation","1"
"joint commissioner","legal & review","1"
"joint commissioner","local risk-based selection of taxpayers for audit. ","1"
"joint commissioner","scrutiny of nil dar (draft audit report) files.","1"
"joint commissioner","to review the follow-up action.","1"
"joint commissioner","vigilance","1"
"junior statistical officer"," data analysis using excel","1"
"junior statistical officer","coordination with multiple stakeholders","1"
"junior statistical officer","data science ","1"
"junior statistical officer","drawing conclusions from data ","1"
"junior statistical officer","enforcement & statistical data related work.","1"
"junior statistical officer","establishment related matters of attached offices like leave/tour/ltc/macp/ta/da/medical/advances etc.","1"
"junior statistical officer","issuing e sanctions on pfms","1"
"junior statistical officer","machine learning","1"
"junior statistical officer","mis","1"
"junior statistical officer","monthly dos and other reports","1"
"junior statistical officer","preparation of cabinet notes","1"
"junior statistical officer","preparing expenditure statement","1"
"junior statistical officer","quarterly report related to budget/vigilance/mmis/hindi/expenditure","1"
"junior statistical officer","report generation","1"
"junior statistical officer","statistical data analysis","1"
"junior statistical officer","training related matters","1"
"multi tasking staff"," renovation","1"
"multi tasking staff"," repairing ","1"
"multi tasking staff","audit and accounts","1"
"multi tasking staff","budgeting","1"
"multi tasking staff","income tax","1"
"multi tasking staff","liaison","1"
"multi tasking staff","pay and accounts","1"
"multi tasking staff","security guard etc","1"
"multi tasking staff","skill enhancement  ","1"
"multi tasking staff","taking care of works of office like cleaniness","1"
"senior scientific officer- ii"," execution of scientific projects","1"
"senior scientific officer- ii","development applications research teaching","1"
"senior scientific officer- ii","management of resources","1"
"senior scientific officer- ii","qa activities","1"
"senior scientific officer- ii","research proposals as projects","1"
"senior scientific officer- ii","research related to soil and water management in cashew","1"
"senior scientific officer- ii","testing","1"
"senior scientific officer- ii","vetting ","1"
"system analyst","administrative matters","1"
"system analyst","budgeting","1"
"system analyst","coordination with all the stakeholders ","1"
"system analyst","cpio","1"
"system analyst","design and conduct it related training programs ","1"
"system analyst","drawing and disbursing officer ","1"
"system analyst","gis project lead","1"
"system analyst","hardware and software maintenance and updation","1"
"system analyst","heading finance division","1"
"system analyst","inhouse software development","1"
"system analyst","initiation of the project ","1"
"system analyst","it implementation","1"
"system analyst","maintain official website of academy.","1"
"system analyst","managing it services ","1"
"system analyst","monitor network and it infrastructure at academy. ","1"
"system analyst","providing support to the departments for their ict projects ","1"
"system analyst","purches management","1"
"system analyst","rti implementation","1"
"system analyst","social media maintenance","1"
"system analyst","team management","1"
"system analyst","technical advisor","1"
"system analyst","website maintenance and updation","1"
"aeronautical officer"," approval of modification on aircraft","1"
"aeronautical officer","assistance in examining documents pertaining to acceptance of type certificate issued by faa/easa.","1"
"aeronautical officer","assistance in examining documents pertaining to type certification (tc) of aeronautical products.","1"
"aeronautical officer","assistance in examining documents pertaining to validation of type certificates issued by other countries.","1"
"aeronautical officer","assisting director to issue tc/stc","1"
"aeronautical officer","certification of aeronautical products in civil aviation. ","1"
"aeronautical officer","itso authorisation approval","1"
"aeronautical officer","production organisation approval","1"
"aeronautical officer","to assist in renewal audit and regulatory audit of dos.","1"
"assistant controller of accounts","internal audit","2"
"assistant controller of accounts"," budgeting","1"
"assistant controller of accounts","accounting","1"
"assistant controller of accounts","accounting ","1"
"assistant controller of accounts","administration","1"
"assistant controller of accounts","auditing","1"
